standard_metName	Gene_name
L-Lactic acid	LDHA
L-Lactic acid	LDHB
L-Lactic acid	HK2
Adenosine	NT5C1B
Adenosine	NT5C2
Adenosine	AHCYL1
Adenosine	AHCY
Adenosine	NT5C3
Adenosine	NT5E
Adenosine	ENTPD1
Adenosine	NT5C1A
Adenosine	NT5M
Adenosine	NT5C
Adenosine	AHCYL2
ATP	HIBCH
ATP	NME1
ATP	NME6
ATP	MAT1A
ATP	NME4
ATP	ACLY
ATP	NME7
ATP	NME2
ATP	IPPK
ATP	SLC27A5
ATP	NMRK2
ATP	NME5
ATP	NUDT2
ATP	NMRK1
ATP	NME3
ATP	MAT2A
ATP	RBKS
ATP	MAT2B
L-Glutamine	PPAT
L-Glutamine	GLUL
Succinate	EGLN2
Succinate	EGLN3
Succinate	TET1
Succinate	NO66
Succinate	TET3
Succinate	PLOD3
Succinate	TMLHE
Succinate	HIF1AN
Succinate	PHYH
Succinate	MINA
Succinate	OXCT1
Succinate	OXCT2
Succinate	EGLN1
Succinate	KDM8
Succinate	ALKBH2
Succinate	PHF8
Succinate	ALKBH1
Succinate	BBOX1
Succinate	P4HA1
Succinate	ASPH
Succinate	PLOD2
Succinate	KDM2B
Succinate	P4HA3
Succinate	LEPREL2
Succinate	P4HTM
Succinate	LEPRE1
Succinate	P4HA2
Succinate	PLOD1
Succinate	LEPREL1
Succinate	TET2
Succinate	KDM2A
Succinate	ALDH5A1
Prostaglandin E2	PTGES2
Prostaglandin E2	PTGES
Prostaglandin E2	PTGS2
Prostaglandin E2	CBR3
Prostaglandin E2	PTGES3
Prostaglandin E2	CBR1